"month","freq"
2019-01-01,200
2019-02-01,167
2019-03-01,183
2019-04-01,162
2019-05-01,208
2019-06-01,187
2019-07-01,193
2019-08-01,177
2019-09-01,224
2019-10-01,186
2019-11-01,177
2019-12-01,234
2020-01-01,239
2020-02-01,185
2020-03-01,170
2020-04-01,164
2020-05-01,182
2020-06-01,208
2020-07-01,211
2020-08-01,195
2020-09-01,154
2020-10-01,218
2020-11-01,200
2020-12-01,195
2021-01-01,188
2021-02-01,159
2021-03-01,189
2021-04-01,224
2021-05-01,256
2021-06-01,231
2021-07-01,190
2021-08-01,241
2021-09-01,249
2021-10-01,226
2021-11-01,138
2021-12-01,210
2022-01-01,221
2022-02-01,164
2022-03-01,224
2022-04-01,187
2022-05-01,251
2022-06-01,230
2022-07-01,209
2022-08-01,300
2022-09-01,275
2022-10-01,375
2022-11-01,348
2022-12-01,503
2023-01-01,644
2023-02-01,685
2023-03-01,592
2023-04-01,543
2023-05-01,561
2023-06-01,511
2023-07-01,690
2023-08-01,596
2023-09-01,469
2023-10-01,525
2023-11-01,30
